slug,title,good_docs,diataxis,seven_action,word_count,hidden
docs/account-management/account-management,Account Management,reference,reference,Remember,395,false
docs/configuring-promptless/context-sources,Context Sources,concept,explanation,unknown,503,false
docs/configuring-promptless/context-sources/confluence,Confluence,reference,reference,Develop,274,false
docs/configuring-promptless/context-sources/jira,Jira,reference,reference,Develop,300,false
docs/configuring-promptless/context-sources/linear,Linear,reference,reference,Develop,247,false
docs/configuring-promptless/context-sources/notion,Notion,reference,reference,Develop,512,false
docs/configuring-promptless/customizing-notifications,Customizing Notifications,how-to,how-to,Develop,312,false
docs/configuring-promptless/doc-collections/doc-detective-integration,Doc Detective Integration,how-to,how-to,Develop,457,false
docs/configuring-promptless/doc-collections/git-hub-repos-docs-as-code,GitHub Repos (Docs as Code),how-to,how-to,Develop,792,false
docs/configuring-promptless/doc-collections/how-promptless-learns-your-docs,How Promptless Learns Your Docs,how-to,how-to,Develop,424,false
docs/configuring-promptless/triggers,Overview,concept,explanation,unknown,322,false
docs/configuring-promptless/triggers/api-triggers,API Triggers,reference,reference,Develop,491,false
docs/configuring-promptless/triggers/git-hub-commits,GitHub Commits,reference,reference,Develop,633,false
docs/configuring-promptless/triggers/git-hub-issues,GitHub Issues,reference,reference,Develop,246,false
docs/configuring-promptless/triggers/git-hub-p-rs,GitHub PRs,reference,reference,Develop,1027,false
docs/configuring-promptless/triggers/intercom-tickets-beta,Intercom Tickets (Beta),reference,reference,Develop,195,false
docs/configuring-promptless/triggers/microsoft-teams-messages,Microsoft Teams Messages (Beta),reference,reference,Develop,233,false
docs/configuring-promptless/triggers/slack-messages,Slack Messages,reference,reference,Develop,646,false
docs/core-concepts,index,stub,stub,stub,0,true
docs/core-concepts/context-sources,context-sources,stub,stub,stub,0,true
docs/core-concepts/doc-locations,doc-locations,stub,stub,stub,0,true
docs/core-concepts/triggers,triggers,stub,stub,stub,0,true
docs/frequently-asked-questions/frequently-asked-questions,Frequently Asked Questions,reference,reference,Troubleshoot,300,false
docs/frequently-asked-questions/recommended-docs-providers,Recommended Documentation Providers,reference,reference,Troubleshoot,253,true
docs/getting-started/core-concepts,Core Concepts,concept,explanation,Understand,373,false
docs/getting-started/getting-help,Getting Support,reference,reference,Troubleshoot,184,false
docs/getting-started/pilot-overview,Pilot Overview,concept,explanation,Appraise,949,true
docs/getting-started/promptless-1-0,Introducing Promptless 1.0: Solving the hardest problems in docs automation,concept,explanation,Appraise+Understand,632,false
docs/getting-started/promptless-oss,Promptless ❤️ Open-Source,concept,explanation,Appraise,526,false
docs/getting-started/setup-quickstart,Setup & Quickstart,quickstart,tutorial,Explore,408,false
docs/getting-started/welcome,Promptless Overview,concept,explanation,Appraise+Understand,354,false
docs/how-to-use-promptless,How to use Promptless,stub,stub,stub,84,false
docs/how-to-use-promptless/agent-knowledge-base,Agent Knowledge Base,how-to,how-to,Practice,286,false
docs/how-to-use-promptless/deep-analysis,Deep Analysis,how-to,how-to,Practice,685,false
docs/how-to-use-promptless/interacting-with-promptless-p-rs,Interacting with Promptless PRs,how-to,how-to,Practice,440,false
docs/how-to-use-promptless/managing-environment-variables,Managing Environment Variables,how-to,how-to,Practice,305,false
docs/how-to-use-promptless/providing-feedback,Providing Feedback,how-to,how-to,Practice,502,false
docs/how-to-use-promptless/using-promptless-capture,Using Promptless Capture,how-to,how-to,Practice,697,false
docs/how-to-use-promptless/using-the-web-interface,Using the Web Interface,how-to,how-to,Practice,528,false
docs/how-to-use-promptless/working-with-slack,Working with Slack,how-to,how-to,Practice,901,false
docs/integrations,Integrations,concept,explanation,unknown,358,false
docs/integrations/atlassian-integration,Atlassian Integration,how-to,how-to,Develop,887,false
docs/integrations/bitbucket-integration,Bitbucket Integration,how-to,how-to,Develop,512,false
docs/integrations/github-enterprise-integration,GitHub Enterprise Integration,how-to,how-to,Develop,1048,false
docs/integrations/github-integration,GitHub Integration,how-to,how-to,Develop,646,false
docs/integrations/intercom-integration-beta,Intercom Integration (Beta),how-to,how-to,Develop,112,false
docs/integrations/launchdarkly-integration-beta,LaunchDarkly Integration (Beta),how-to,how-to,Develop,215,false
docs/integrations/linear-integration,Linear Integration,how-to,how-to,Develop,143,false
docs/integrations/microsoft-teams-integration,Microsoft Teams Integration (Beta),how-to,how-to,Develop,257,false
docs/integrations/slack-integration,Slack Integration,how-to,how-to,Develop,516,false
docs/security-and-privacy,Security and Privacy,concept,explanation,Appraise,130,false
docs/security-and-privacy/compliance-and-certifications,Compliance and Certifications,reference,reference,Appraise,350,false
docs/security-and-privacy/data-handling-and-classification,Data Handling and Classification,reference,reference,Appraise,639,false
docs/security-and-privacy/network-architecture,Network Architecture,reference,reference,Appraise,286,false
docs/security-and-privacy/privacy-policy,Privacy Policy,reference,reference,Appraise,116,false
docs/security-and-privacy/promptless-subprocessors,Promptless Subprocessors,unknown,unknown,Appraise,341,false
docs/security-and-privacy/single-sign-on-sso-setup,Single Sign-On (SSO) Setup,how-to,how-to,Appraise,476,false
docs/self-hosting,Self-Hosting Overview,how-to,how-to,Develop,597,true
docs/self-hosting/kubernetes-helm,Kubernetes + Helm Deployment,how-to,how-to,Develop,1137,true
