file,line_count_data_track,scope,notes
src/components/site/HeroV2.astro,17,marketing,Hero CTAs + feature cards heavily tracked
src/components/shared/AnalyticsClickTracker.astro,5,shared,Generic click-tracking wrapper component
src/components/shared/AnnouncementPill.astro,4,shared,Announcement pill (sitewide)
src/components/shared/AnnouncementBanner.astro,4,shared,Announcement banner (sitewide)
src/components/shared/TopHeader.astro,3,shared,Top header (sitewide; renders on docs too)
src/components/starlight/MobileMenuFooter.astro,2,docs-shell,Starlight mobile menu footer
src/components/site/pricing/PricingCard.astro,1,marketing,Pricing card click
src/components/site/SocialProofLinks.astro,1,marketing,Social proof link
src/components/site/HeroV1.astro,1,marketing,Hero v1 (older)
src/components/site/Hero.astro,1,marketing,Hero (current)
src/components/site/FreeToolCard.astro,1,marketing,Free-tool card
src/content/docs/docs/getting-started/welcome.mdx,1,docs-content,Only docs page with inline data-track; book_demo CTA only
